iter	Passed	Remaining
405	6040	8837
406	6051	8817
407	6063	8797
408	6075	8778
409	6087	8759
410	6099	8741
411	6111	8721
412	6123	8703
413	6135	8684
414	6148	8666
415	6160	8647
416	6173	8631
417	6186	8614
418	6200	8597
419	6214	8582
420	6228	8565
421	6241	8549
422	6255	8532
423	6270	8517
424	6283	8500
425	6297	8484
426	6310	8468
427	6324	8452
428	6338	8436
429	6351	8419
430	6365	8404
431	6380	8388
432	6394	8373
433	6407	8356
434	6419	8338
435	6432	8320
436	6444	8302
437	6457	8285
438	6469	8266
439	6482	8250
440	6494	8232
441	6506	8214
442	6518	8195
443	6529	8176
444	6543	8161
445	6556	8143
446	6568	8125
447	6580	8108
448	6592	8089
449	6604	8072
450	6615	8053
451	6627	8035
452	6639	8017
453	6651	7999
454	6663	7981
455	6675	7964
456	6687	7945
457	6699	7928
458	6711	7910
459	6723	7892
460	6735	7874
461	6747	7856
462	6758	7839
463	6770	7821
464	6782	7803
465	6793	7785
466	6806	7768
467	6819	7751
468	6830	7733
469	6842	7716
470	6854	7698
471	6866	7681
472	6883	7668
473	6926	7686
474	6945	7676
475	6961	7663
476	6973	7645
477	6985	7628
478	6997	7611
479	7009	7593
480	7021	7575
481	7032	7558
482	7044	7540
483	7056	7522
484	7067	7505
485	7079	7487
486	7092	7471
487	7104	7454
488	7116	7436
489	7129	7420
490	7142	7404
491	7155	7388
492	7168	7372
493	7181	7356
494	7194	7339
495	7205	7322
496	7217	7305
497	7231	7289
498	7244	7273
499	7256	7256
500	7268	7239
501	7280	7222
502	7292	7205
503	7305	7189
504	7317	7172
505	7329	7155
506	7341	7138
507	7353	7121
508	7365	7104
509	7377	7088
510	7389	7071
511	7402	7055
512	7415	7039
513	7427	7022
514	7439	7005
515	7450	6988
516	7462	6972
517	7474	6955
518	7486	6938
519	7497	6921
520	7509	6904
521	7521	6887
522	7533	6871
523	7545	6854
524	7557	6837
525	7569	6821
526	7581	6804
527	7592	6787
528	7604	6770
529	7615	6753
530	7626	6736
531	7638	6719
532	7649	6702
533	7661	6685
534	7672	6668
535	7683	6651
536	7695	6635
537	7707	6618
538	7719	6602
539	7730	6585
540	7742	6568
541	7753	6552
542	7765	6535
543	7777	6519
544	7789	6502
545	7800	6486
546	7812	6469
547	7824	6453
548	7836	6437
549	7848	6421
550	7859	6404
551	7871	6388
552	7882	6371
553	7894	6355
554	7907	6339
555	7918	6323
556	7930	6307
557	7941	6290
558	7953	6274
559	7964	6257
560	7975	6241
561	7987	6225
562	7998	6208
563	8010	6192
564	8021	6176
565	8034	6160
566	8045	6144
567	8057	6128
568	8069	6112
569	8081	6096
570	8093	6080
571	8104	6064
572	8116	6048
573	8128	6032
574	8141	6017
575	8152	6001
576	8164	5985
577	8176	5969
578	8187	5953
579	8198	5936
580	8209	5920
581	8222	5905
582	8234	5889
583	8246	5874
584	8257	5858
585	8269	5842
586	8281	5826
587	8292	5810
588	8304	5794
589	8315	5778
590	8327	5762
591	8339	5747
592	8351	5731
593	8363	5716
594	8375	5701
595	8387	5685
596	8398	5669
597	8410	5653
598	8422	5638
599	8434	5622
600	8445	5607
601	8457	5591
602	8468	5575
603	8480	5560
604	8492	5544
605	8504	5529
606	8515	5513
607	8527	5497
608	8539	5482
609	8551	5467
